traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age,body_type
4x4,Automático,288,Estándar,3.6,6.0,Combustión,270,No,Gmc,10,Suv
4x2,Manual,121,Gasolina,1.5,5.0,Combustión,109,No,Ford,6,Hatchback
4x2,Automático,245,Estándar,2.0,8.0,Combustión,258,Sí,Volvo,9,Sedan
4x2,Automático,153,Gasolina,2.0,6.0,Combustión,142,No,Kia,7,Suv
4x2,Manual,120,Estándar,1.6,5.0,Combustión,112,No,Ford,9,Sedan
4x2,Automático,237,Gasolina,1.8,6.0,Combustión,251,Sí,Alfa Romeo,6,Hatchback
4x2,Manual,107,Estándar,1.5,5.0,Combustión,104,No,Toyota,6,Sedan
4x2,Automático,153,Gasolina,2.0,6.0,Combustión,142,No,Kia,8,Suv
4x2,Automático,300,Estándar,4.8,6.0,Combustión,295,No,Porsche,11,Suv
4x2,Automático,184,Gasolina,2.0,8.0,Combustión,199,Sí,Bmw,5,Convertible
4x2,Manual,89,Diesel,1.6,5.0,Combustión,159,Sí,Peugeot,6,Minivan
4x2,Automático,290,Gasolina,3.3,6.0,Combustión,252,No,Hyundai,7,Suv
4x4,Automático,290,Gasolina,3.3,6.0,Combustión,252,No,Kia,8,Suv
4x2,Automático,285,Gasolina,3.5,6.0,Combustión,253,No,Ford,12,Suv
4x2,Manual,136,Gasolina,1.5,6.0,Combustión,162,Sí,Mini,7,Hatchback
4x2,Automático,107,Gasolina,1.5,6.0,Combustión,104,No,Chevrolet,4,Sedan
4x4,Automático,254,Gasolina,2.0,8.0,Combustión,258,Sí,Volvo,5,Suv
4x2,Automático,140,Estándar,1.5,7.0,Combustión,162,Sí,Bmw,5,Suv
4x2,Automático,305,Estándar,3.6,9.0,Combustión,259,No,Chevrolet,7,Suv
4x2,Automático,295,Estándar,3.5,8.0,Combustión,248,No,Toyota,8,Suv
4x2,Manual,141,Gasolina,1.8,6.0,Combustión,127,No,Honda,6,Suv
4x2,Automático,130,Gasolina,1.8,6.0,Combustión,134,No,Jeep,5,Suv
4x2,Automático,138,Gasolina,1.4,6.0,Combustión,148,Sí,Buick,9,Suv
4x2,Automático,138,Gasolina,1.4,6.0,Combustión,162,Sí,Suzuki,5,Suv
4x2,Manual,140,Gasolina,1.8,5.0,Combustión,129,No,Chevrolet,8,Suv
4x2,Automático,122,Gasolina,1.4,7.0,Combustión,148,Sí,Audi,12,Hatchback
4x2,Automático,290,Estándar,3.5,6.0,Combustión,255,No,Ford,12,Suv
4x2,Automático,180,Gasolina,2.4,6.0,Combustión,175,No,Jeep,6,Suv
4x2,Manual,71,Estándar,1.0,5.0,Combustión,67,No,Smart,9,Hatchback
4x2,Automático,181,Gasolina,2.0,9.0,Combustión,221,Sí,Mercedes Benz,8,Convertible
4x2,Automático,139,Híbrido,1.6,6.0,Eléctrico,109,No,Hyundai,7,Hatchback
4x2,Automático,273,Gasolina,3.7,6.0,Combustión,270,No,Mazda,10,Suv
4x4,Automático,280,Estándar,3.5,6.0,Combustión,262,No,Honda,9,Suv
4x2,Automático,140,Gasolina,1.5,7.0,Combustión,162,Sí,Bmw,5,Sedan
4x2,Automático,121,Gasolina,1.6,6.0,Combustión,111,No,Kia,6,Hatchback
4x2,Automático,150,Estándar,1.4,7.0,Combustión,184,Sí,Audi,7,Sedan
4x4,Automático,176,Gasolina,2.5,6.0,Combustión,172,No,Toyota,11,Suv
4x2,Automático,100,Gasolina,1.4,4.0,Combustión,98,No,Suzuki,10,Hatchback
4x2,Manual,100,Gasolina,1.4,5.0,Combustión,98,No,Suzuki,10,Hatchback
