fuel_consumption_km_l,traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age
15.0,4x2,Automático,150,Gasolina,1.4,6.0,Combustión,184,Sí,Volkswagen,4
15.0,4x2,Manual,130,Estándar,1.5,6.0,Combustión,114,No,Honda,7
17.0,4x2,Manual,110,Gasolina,1.2,6.0,Combustión,95,Sí,Seat,8
14.0,4x2,Manual,131,Gasolina,2.0,6.0,Combustión,142,No,Renault,7
13.0,4x2,Automático,181,Estándar,2.0,8.0,Combustión,199,Sí,Bmw,10
17.0,4x2,Automático,147,Gasolina,2.0,6.0,Combustión,132,No,Hyundai,7
15.0,4x2,Automático,121,Gasolina,1.6,6.0,Combustión,111,No,Kia,7
12.0,4x2,Automático,105,Estándar,1.6,4.0,Combustión,107,No,Renault,7
10.0,4x2,Automático,173,Gasolina,2.4,4.0,Combustión,166,No,Dodge,6
12.0,4x2,Automático,185,Gasolina,2.4,6.0,Combustión,178,No,Kia,6
11.0,4x2,Automático,180,Gasolina,1.8,7.0,Combustión,184,Sí,Audi,9
15.0,4x2,Manual,115,Gasolina,1.6,5.0,Combustión,114,No,Renault,4
15.0,4x2,Automático,148,Estándar,2.0,6.0,Combustión,144,No,Mazda,6
14.0,4x2,Manual,188,Gasolina,2.5,6.0,Combustión,184,No,Mazda,7
16.0,4x2,Automático,107,Gasolina,1.5,6.0,Combustión,104,No,Chevrolet,5
9.0,4x2,Manual,115,Gasolina,2.0,5.0,Combustión,125,No,Seat,10
9.0,4x2,Manual,164,Gasolina,2.5,5.0,Combustión,167,No,Ford,4
9.0,4x2,Automático,188,Gasolina,2.5,6.0,Combustión,184,No,Mazda,7
15.0,4x2,Manual,155,Gasolina,2.0,6.0,Combustión,148,No,Mazda,10
14.0,4x2,Automático,121,Gasolina,1.6,6.0,Combustión,112,No,Kia,4
19.0,4x2,Manual,82,Gasolina,1.2,5.0,Combustión,83,No,Suzuki,6
8.0,4x4,Automático,285,Gasolina,3.6,5.0,Combustión,260,No,Jeep,9
15.0,4x2,Manual,104,Gasolina,1.6,5.0,Combustión,109,No,Renault,6
15.0,4x2,Automático,122,Gasolina,1.4,7.0,Combustión,148,Sí,Audi,10
15.0,4x2,Manual,147,Gasolina,2.0,6.0,Combustión,132,No,Kia,5
13.0,4x2,Manual,104,Gasolina,1.6,5.0,Combustión,113,No,Volkswagen,11
7.0,4x4,Automático,420,Estándar,6.2,8.0,Combustión,450,No,Gmc,8
15.0,4x2,Automático,150,Gasolina,1.4,6.0,Combustión,184,Sí,Volkswagen,5
18.0,4x2,Manual,81,Gasolina,1.2,5.0,Combustión,80,No,Chevrolet,5
17.0,4x2,Automático,121,Gasolina,1.5,6.0,Combustión,109,No,Ford,6
9.0,4x2,Automático,164,Gasolina,2.0,6.0,Combustión,146,No,Ford,5
14.0,4x2,Automático,121,Gasolina,1.6,6.0,Combustión,112,No,Kia,5
10.0,4x2,Automático,323,Gasolina,3.6,6.0,Combustión,278,No,Chevrolet,10
18.0,4x2,Manual,81,Gasolina,1.2,5.0,Combustión,80,No,Chevrolet,13
12.0,4x2,Manual,115,Estándar,2.0,5.0,Combustión,125,No,Seat,12
9.0,4x2,Automático,266,Gasolina,3.5,6.0,Combustión,245,No,Toyota,11
17.0,4x2,Manual,136,Gasolina,1.5,6.0,Combustión,162,Sí,Mini,4
18.0,4x2,Manual,81,Gasolina,1.2,5.0,Combustión,80,No,Chevrolet,10
11.0,4x2,Automático,180,Gasolina,1.8,7.0,Combustión,184,Sí,Audi,10
